BOROBOX,BOX_TYPE,LOCATION,ZIP,BOROUGH,COMMUNITYDISTICT,CITYCOUNCIL,LATITUDE,LONGITUDE,Location Point,total_diff
B2653,ERS,3 AVE & 65 ST,11220,Brooklyn,BK07,38,40.63932033,-74.02354939,POINT (-74.02354939 40.63932033),2004.3963746184372
Q7917,BARS,WOODSIDE AVE & 69 ST,11377,Queens,QN02,26,40.7426855,-73.89565167,POINT (-73.89565167 40.7426855),1185.8759488266912
B0801,ERS,MYRTLE AVE & PALMETTO ST,11237,Brooklyn,QN05,34,40.69953211,-73.9110349,POINT (-73.9110349 40.69953211),1118.0904968451564
B1046,ERS,NEW YORK AVE & LEFFERTS AVE,11225,Brooklyn,BK09,40,40.66253364,-73.94791393,POINT (-73.94791393 40.66253364),1241.3240396637007
B0109,ERS,RIVER & NORTH 3 STS,11211,Brooklyn,BK01,33,40.71837562,-73.96462115,POINT (-73.96462115 40.71837562),1124.0021202893781
R2465,BARS,VINCENT AVE & COVERLY ST,10306,Staten Island,SI03,50,40.57084247,-74.12510919,POINT (-74.12510919 40.57084247),3602.5070942818406
Q3506,ERS,59 AVE & 136 ST,11355,Queens,QN07,20,40.74424412,-73.82953367,POINT (-73.82953367 40.74424412),1684.8138346905434
Q4382,ERS,WYCKOFF AVE & CENTRE ST,11385,Brooklyn,QN05,37,40.69635031,-73.90540128,POINT (-73.90540128 40.69635031),1154.6415863765587
Q6353,BARS,MANOR RD & CENTER DR,11363,Queens,QN11,19,40.77632656,-73.75132309,POINT (-73.75132309 40.77632656),2483.5872121586617
Q4207,ERS,METROPOLITAN AVE & PLEASANTVIEW ST,11379,Queens,QN05,30,40.71245415,-73.88205387,POINT (-73.88205387 40.71245415),1272.9020843358055
